epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,304.186,1.86543,1.92904,1.7734,0.90977,0.28231,0.32972,0.17248,1.93402,2.23445,1.91184,0.0012486,0.0012486,0.0012486
2,584.921,1.7112,1.58034,1.66185,0.92701,0.36379,0.42708,0.26484,1.50249,1.30167,1.49984,0.00112625,0.00112625,0.00112625
3,862.796,1.577,1.3369,1.56089,0.91404,0.39308,0.44422,0.27266,1.44954,1.2365,1.46726,0.0010025,0.0010025,0.0010025
4,1149.04,1.47678,1.17589,1.47997,0.79585,0.47658,0.51025,0.32482,1.36728,1.03154,1.40309,0.00087875,0.00087875,0.00087875
5,1437.77,1.40949,1.07585,1.43139,0.79171,0.5009,0.51816,0.33118,1.33848,0.96736,1.37744,0.000755,0.000755,0.000755
6,1764.98,1.34567,0.97762,1.38967,0.85675,0.51602,0.56922,0.3754,1.31339,0.9052,1.35246,0.00063125,0.00063125,0.00063125
7,2052.26,1.29615,0.89504,1.34761,0.874,0.54508,0.60702,0.39997,1.25721,0.82008,1.31896,0.0005075,0.0005075,0.0005075
8,2335.89,1.24527,0.82459,1.31439,0.76161,0.58949,0.63112,0.42067,1.20539,0.76002,1.28082,0.00038375,0.00038375,0.00038375
9,2613.72,1.18817,0.75495,1.27485,0.84877,0.62769,0.66453,0.45438,1.17058,0.69793,1.25688,0.00026,0.00026,0.00026
10,2891.03,1.13501,0.69313,1.23864,0.77317,0.65275,0.68923,0.4736,1.14285,0.6672,1.23485,0.00013625,0.00013625,0.00013625
