epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.7988,1.20872,2.08653,1.0054,0.43189,0.34282,0.24318,0.16081,1.18138,1.67589,0.98626,0.00110339,0.00110339,0.00110339
2,46.6138,1.11357,1.48688,0.96307,0.47376,0.48378,0.3165,0.22393,1.01619,1.32151,0.94623,0.00105311,0.00105311,0.00105311
3,68.2171,1.06815,1.3568,0.95199,0.56112,0.50513,0.38256,0.27892,0.98794,1.255,0.93414,0.000995222,0.000995222,0.000995222
4,89.5728,1.04589,1.26038,0.94348,0.51617,0.46852,0.39478,0.2879,1.01629,1.17651,0.93724,0.000937333,0.000937333,0.000937333
5,110.642,1.02936,1.20174,0.93461,0.57623,0.4988,0.43576,0.32104,0.95111,1.26456,0.92443,0.000879444,0.000879444,0.000879444
6,131.566,1.00107,1.14204,0.92522,0.43558,0.44975,0.45189,0.33462,0.98154,1.13225,0.93148,0.000821555,0.000821555,0.000821555
7,153.153,0.98384,1.10749,0.92144,0.62135,0.51749,0.46712,0.3636,0.91045,1.24752,0.90729,0.000763666,0.000763666,0.000763666
8,174.782,0.97638,1.06747,0.91872,0.65419,0.51788,0.49009,0.38401,0.93425,1.02321,0.91002,0.000705777,0.000705777,0.000705777
9,195.857,0.97018,1.05969,0.92148,0.6125,0.5116,0.47618,0.36297,0.9181,1.09648,0.90903,0.000647888,0.000647888,0.000647888
10,232.998,0.95418,1.03915,0.91017,0.64426,0.47648,0.46356,0.34377,0.95031,1.15091,0.91917,0.000589999,0.000589999,0.000589999
11,253.147,0.93606,0.99421,0.90347,0.73707,0.47179,0.51112,0.39656,0.92089,0.96249,0.91296,0.000532111,0.000532111,0.000532111
12,273.482,0.92799,0.9843,0.90049,0.62131,0.52948,0.49987,0.3821,0.93328,1.13831,0.91034,0.000474222,0.000474222,0.000474222
13,294.178,0.91473,0.95633,0.89742,0.63877,0.56301,0.54457,0.41613,0.94236,1.07867,0.90941,0.000416333,0.000416333,0.000416333
14,315.114,0.90251,0.92687,0.89613,0.65232,0.55278,0.59702,0.45722,0.93172,0.99502,0.9072,0.000358444,0.000358444,0.000358444
15,335.885,0.8899,0.90082,0.88881,0.61069,0.54831,0.50922,0.39021,0.89974,1.02666,0.89963,0.000300555,0.000300555,0.000300555
16,356.589,0.88539,0.87852,0.88404,0.62449,0.58431,0.56534,0.43554,0.92753,0.97806,0.90373,0.000242666,0.000242666,0.000242666
17,377.138,0.87284,0.85009,0.88376,0.66486,0.51497,0.52531,0.40064,0.92843,1.06326,0.90774,0.000184777,0.000184777,0.000184777
18,397.477,0.86563,0.82429,0.88006,0.63424,0.5797,0.51142,0.39898,0.89637,1.08673,0.89853,0.000126888,0.000126888,0.000126888
19,418.308,0.85496,0.80853,0.87893,0.62154,0.54689,0.51303,0.40073,0.89446,1.10461,0.89578,6.89989e-05,6.89989e-05,6.89989e-05
